mode,level_pct,sample,delta_d1_pct,delta_d2_pct,delta_w1_pct,delta_w2_pct,delta_g_pct,geometry_valid,solver_ok,strict_sigma_ratio,strict_raw_residual,full_sigma_ratio,full_raw_residual,threshold_amplitude_error,finite_open_amplitude_error,strict_threshold_amplitude,strict_sigma_over_baseline,strict_raw_over_baseline
independent,1,31,0.684954558925276,0,0,0,0,1,1,0.00602612905004018,0.0590052799513021,0.0035395314455619,0.0467675211720179,0.00920687327901062,0.0126302845786996,0,33.0919892441386,26.5810907563862
independent,1,32,0,-0.38593336066182,0,0,0,1,1,0.000805948862250148,0.0141086935005998,0.000333840505041695,0.00462480374358768,0.0029418070122819,0.00176977356321531,0,4.42580151527452,6.35577803720265
independent,1,33,0,0,0.794598541941403,0,0,1,1,0.0474863719634709,0.447534816404709,0.0242447375364872,0.263122339735325,0.224804504268813,0.0224399828201295,0,260.767483936951,201.60845912966
independent,1,34,0,0,0,-0.553078144339101,0,1,1,0.000448706929559494,0.00672053672253332,1.51896537849893e-05,0.000209676797313298,0.00199535618519133,0.000996484306872142,0,2.4640369901561,3.02751205825509
independent,1,35,0,0,0,0,0.581611428743284,1,1,0.000454690995097731,0.00676745311692088,0.000155320217242088,0.00214356754907139,0.00246580441814022,0.000568147163399336,0,2.49689799110433,3.04864726748056
independent,1,36,-0.966595955523614,0,0,0,0,1,1,0.00798740635722044,0.0833248552924351,0.00435130965746401,0.0633972034440347,0.012701963940599,0.0171027743543208,0,43.8621813550343,37.5367347230439
independent,1,37,0,0.240386258704892,0,0,0,1,1,0.000592178717443789,0.0108025169924878,0.000462973360586774,0.00637319198052596,0.00165368850300333,0.000774717428572461,0,3.25190044646107,4.86638966566561
independent,1,38,0,0,0.765054741040984,0,0,1,1,0.0457400160889227,0.434171644013457,0.0234634150724608,0.256781450215918,0.217002740235137,0.0217146246577833,0,251.177515096738,195.588528397727
independent,1,39,0,0,0,0.930041805240063,0,1,1,0.00075497170922579,0.0133210937641953,0.000438425174555634,0.00605401042727496,0.00313102146915497,0.00115483117955711,0,4.14586469587176,6.00097487229348
independent,1,40,0,0,0,0,0.0118307435265823,1,1,0.000182299437906752,0.00222362712366403,0.000157294279875724,0.00217061218869373,0.00012191052311175,0.000201628109825615,0,1.00108228488444,1.00171432846784
independent,1,41,0.771963354609115,0,0,0,0,1,1,0.00677698057702627,0.066115328849239,0.00398048372430523,0.0522907814928224,0.0103662271457849,0.0142193199517086,0,37.2152283000302,29.7840728487411
